tiempoEspera,tiempoServicio,tiempoLlegadas,tiempoRealAtencion
118.2,30.6,1213,106.347
83.1,21,587,82.2148
91.8,21,587,83.7523
112,23.8,1064,92.9797
120,24.6,1092,109.812
140,27.8,1390,85.5865
101.3,22.9,954,79.9545
116.5,24.9,1041,86.9036
73.2,19.8,770,76.6115
106,26.8,1027,95.9228
114.9,25.5,1077,106.299
78.4,26.5,974,103.096
119.7,33.3,1236,106.067
126.6,24.8,1329,117.813
150.3,21.8,1001,91.3409
131.7,24.4,1310,99.0031
137.2,23.8,1157,92.5106
81.5,22,839,99.0761
136.3,26,1154,81.389
70,18.1,397,101.382
81.5,22,839,95.3842
116.9,30.7,1284,65.6987
151.5,28.4,1240,99.2247
143,24.6,1197,100.622
148.6,22.9,605,118.079
150.7,28.5,1210,101.658
86,22,1004,101.995
104,26,840,79.6426
97.8,25.7,1133,109.366
95.8,18.6,480,98.8943
81.6,27.4,868,100.299
132.5,27.6,1121,112.524
104.9,22.9,712,100.946
129.6,21.8,1011,87.4088
85.1,24.5,1042,100.477
147,21.7,1040,83.2144
99.9,23.2,838,98.5498
110.9,22.8,726,88.982
145.8,27.6,1223,101.807
105.1,20.2,923,79.7312
80,23.1,896,95.1476
125.8,20.8,996,77.2776
93.8,20.6,730,85.1631
152.4,23.6,996,94.2979
98.3,21.3,800,91.2655
102.7,24.2,1202,94.6144
117.5,29.4,1080,94.9414
107.1,20.5,858,79.3398
79.3,23.2,875,84.3151
86.7,20.3,753,82.1994
103.2,25,901,92.5469
93.8,17.8,796,83.0723
116.7,26.2,1174,96.9
86.2,22.2,859,93.1353
100.9,19.4,867,75.5825
157.6,27.1,1269,99.8046
94,21.4,621,79.0683
111.1,22,1019,102.113
85.8,23.2,1037,95.7945
92.2,19.1,757,79.0497
134.9,21.7,1002,97.4313
87.2,26.8,1143,104.672
151,28.2,1555,100.516
124.1,32.5,1271,118.192
100.1,25.7,914,114.299
85.3,24.6,1045,99.3298
115.2,25.2,1130,104.16
119.4,31,1116,111.246
142.5,27.6,1213,99.655
110.2,20.3,919,79.1705
101.4,28.1,1231,99.9633
80.6,23.5,897,98.7418
105.5,24.3,1028,95.2304
78.5,23,880,89.5917
109.2,20.3,861,92.0352
111.3,17.9,939,74.2853
101.3,24.6,954,102.532
117.3,28.5,1050,102.949
145.8,26.3,1208,99.565
87.2,20.7,637,74.3727
107.4,18.9,913,83.5607
86,22.2,884,90.553
100.7,27.9,1138,93.2452
94.4,18.2,863,77.359
104.6,30.2,1402,101.441
106.1,20,847,84.1922
88.2,19.1,702,78.0852
109.8,24.6,1115,104.023
93.2,22.9,980,92.496
135.3,18.4,1549,73.0307
122.4,21.1,924,98.7073
124.4,26.6,1250,123.891
143.3,26.9,1497,95.0988
93.6,25.2,1066,101.673
98.8,23.6,985,108.516
110.8,25.1,1058,103.532
105.9,33.2,1230,107.729
128.2,19.7,1017,89.099
138.3,26.1,1316,98.315
96.8,26.7,1097,99.0857
110.9,18.3,913,82.8335
85.5,23.3,888,92.7047
88.5,19,744,84.4326
109.9,19.3,906,88.3043
109.1,22,864,74.0807
140.8,26.3,1195,96.1639
86.2,18.3,469,60.937
106.1,19,918,78.0236
153.4,26.2,1205,86.1635
101.7,23.5,943,92.0205
95.5,18.9,875,76.794
112,22.5,1215,88.9323
116.3,21.1,968,86.7252
95.2,17.9,743,72.5408
110.2,19.4,728,81.3243
106.1,20.1,668,91.3292
122.9,20.2,813,80.3176
95.6,18.1,707,77.4748
90.2,17.6,722,78.5814
95.2,17.9,743,68.6771
109.6,19.2,791,84.3371
104.6,30.2,1402,99.9962
140.6,22.9,980,100.578
140.6,22.9,980,98.7352
87.7,19.7,721,81.1313
122.4,21.1,924,90.0974
128.2,19.7,1017,93.4093
131,19.9,1369,76.3137
146,26.5,1514,95.4738
129.1,26.7,1274,109.348
116.6,31.9,1179,109.126
135.3,18.3,1549,66.4431
116.9,23.9,994,111.13
92.3,22.6,730,96.0149
109.1,21.6,879,100.815
102.1,21.4,830,101.255
114.8,21.4,885,88.2589
109.7,27.7,690,106.271
127.9,27.5,1286,99.0868
110.9,18.3,913,83.5248
109,30.3,637,88.6482
111.9,26.3,1195,93.4463
123.4,26.2,1205,95.5902
128.6,26.9,1234,90.6341
85.8,22.2,562,77.3169
102.1,20.6,859,80.8825
106.2,19.5,849,89.4307
102.1,20.6,859,85.2486
109.9,19.3,906,96.644
106.1,19,918,77.554
95.5,18.9,875,75.5293
103.8,23.2,898,101.359
97.1,27.7,709,100.592
111.2,22.4,860,94.7686
112.4,22.7,883,90.6035
91.1,25.5,557,96.2942
84.1,19.5,518,71.8234
123.2,22.1,894,108.601
123.2,22.1,894,108.601
119.7,24.1,1181,94.0504
113.1,21.2,888,75.0359
89.7,19.1,492,72.3438
97.9,25.4,580,88.8738
87.7,23.1,577,90.775
83,19.9,764,76.3598
104.8,23.1,853,90.2266
100.1,31.9,540,102.49
97.5,26.5,724,98.8711
97.8,23.3,985,92.0514
94.2,20.2,611,80.5295
135.5,27.5,1321,90.847
132,22.9,982,95.6327
93.9,19.9,613,74.0208
119,25,594,82.7072
113.5,21.5,864,83.2139
122.2,21.2,934,86.8858
147.6,27.7,1042,100.285
127,23.1,932,99.9271
98.7,20.6,816,80.7331
111.3,21.9,876,90.9533
99.9,20.5,811,79.4312
110.2,21.7,883,84.3096
95.6,30.9,545,110.376
92.6,25.4,740,95.0514
87.7,18,525,72.7227
81.2,19.5,668,88.8833
91.4,21.4,658,104.339
91.4,20.9,772,80.2133
135.4,21.6,872,88.5102
119,23.3,775,88.2886
132.2,20.9,845,91.1555
115.4,19.5,802,77.6284
98.8,18.4,717,77.7811
94.4,18.2,736,72.8196
99.9,18.3,752,69.7946
110.3,25.2,991,82.6678
120.7,30.1,740,86.8134
113.7,20.9,979,84.5333
140.3,22.1,1004,81.2965
134.8,20.6,1021,84.4545
98.8,22.7,804,101.276
107.8,29.6,1480,103.701
141.7,24.6,1002,111.283
120.1,23.2,898,103.328
86.1,21.9,573,77.7977
108.8,22.9,1109,86.7408
98.8,32.9,537,103.922
100,21.2,684,72.8514
102.9,23.7,974,100.38
100.5,22.1,727,82.3636
120,29.3,753,91.2925
100.4,27,869,101.412
114.4,21.9,606,98.5843
119.5,22.8,880,91.9333
124.8,22.6,895,98.9581
130.2,34.2,946,107.352
128.6,26,1133,124.107
105,24.9,970,101.254
135.5,23.2,987,101.736
